Type,Created date,Description,Amount,State
CARD_PAYMENT,"2022-11-21
14:11:48",Ubr* Pending.uber.com,-7.25,Completed
CARD_PAYMENT,"2022-11-21
15:37:14",Lothian Buses Limited,0.00,Completed
CARD_PAYMENT,"2022-11-21
19:24:53",Greggs Plc,-1.15,Completed
CARD_PAYMENT,"2022-11-21
19:32:48",Buchanan St Subway,-1.75,Completed
CARD_PAYMENT,"2022-11-22
05:41:49",Lothian Buses Limited,-1.80,Completed
CARD_PAYMENT,"2022-11-22
10:47:51",Tesco Stores 5630,-18.55,Completed
CARD_PAYMENT,"2022-11-23
18:42:26",Lidl Gb Partick,-3.43,Completed
CARD_PAYMENT,"2022-11-23
18:53:02",W M Morrison Store,-3.49,Completed
TRANSFER,"2022-11-25
17:54:59",From OLEKSANDRA NASTENKO,44.83,Completed
CARD_PAYMENT,"2022-11-26
10:18:01",Perch And Rest,-6.70,Completed
CARD_PAYMENT,"2022-11-26
13:28:16",Tesco Stores 5630,-3.00,Completed
CARD_PAYMENT,"2022-11-26
13:48:28",Lidl Gb Partick,-6.91,Completed
CARD_PAYMENT,"2022-11-26
15:40:02",Vesta *vodafone Topup,0.00,Completed
CARD_PAYMENT,"2022-11-27
13:02:23",Tesco Stores 5630,-5.50,Completed
TRANSFER,"2022-12-02
14:39:28",From BOHDAN KOZARENKO,150.00,Completed
TRANSFER,"2022-12-02
14:43:38",From AZIZ AZIZOV,118.63,Completed
TRANSFER,"2022-12-02
14:44:42",To Dmitrii Ivanov,-267.00,Completed
CARD_PAYMENT,"2022-12-02
16:08:49",Abellio Scotrail Ltd,-1.80,Completed
CARD_PAYMENT,"2022-12-02
20:57:37",Sainsburys-Glasgow Byr,-1.90,Completed
CARD_PAYMENT,"2022-12-02
22:41:57",apple.com/bill,-3.49,Completed
CARD_PAYMENT,"2022-12-03
16:35:55",Lidl Gb Partick,-6.71,Completed
CARD_PAYMENT,"2022-12-04
13:32:45",Sq *hinbagla,-5.90,Completed
TRANSFER,"2022-12-05
09:10:30",To Dmitrii Ivanov,-7.07,Completed
